"client_id","age","gender","city"
1191,24,M,г. Москва
1192,69,F,г. Москва
1197,29,F,г. Москва
1199,23,M,г. Москва
1208,28,F,г. Москва
2657,31,M,г. Москва
1218,28,F,г. Москва
2028,31,M,г. Москва
1223,22,F,г. Москва
1229,25,M,г. Москва
2671,23,F,г. Москва
2676,55,M,г. Москва
1414,31,F,г. Москва
1241,32,M,г. Москва
2085,16,F,г. Москва
1249,62,F,г. Москва
1252,22,M,г. Москва
1257,23,F,г. Москва
1433,54,M,г. Москва
1264,29,M,г. Москва
1268,18,F,г. Москва
1270,33,F,г. Москва
2734,69,M,г. Москва
2745,34,F,г. Москва
1279,25,F,г. Москва
1281,28,M,г. Москва
1284,62,F,г. Москва
1286,18,F,г. Москва
1292,22,F,г. Москва
1294,22,F,г. Москва
1296,33,F,г. Москва
1303,20,M,г. Москва
1308,22,F,г. Москва
1510,22,F,г. Москва
1317,20,M,г. Москва
1319,22,F,г. Москва
1321,22,F,г. Москва
1328,20,F,г. Москва
2847,30,F,г. Москва
1339,44,F,г. Москва
1344,19,M,г. Москва
1356,25,M,г. Москва
1359,25,M,г. Москва
2265,24,M,г. Москва
1384,45,F,г. Москва
1386,34,M,г. Москва
1390,24,M,г. Москва
1391,18,M,г. Москва
1394,17,F,г. Москва
1395,28,F,г. Москва
1398,30,M,г. Москва
2930,32,M,г. Москва
1408,22,M,г. Москва
1410,28,M,г. Москва
1413,16,M,г. Москва
1418,49,M,г. Москва
1423,41,M,г. Москва
1425,29,F,г. Москва
1434,19,F,г. Москва
1438,31,M,г. Москва
1638,34,F,г. Москва
1442,27,M,г. Москва
2976,24,F,г. Москва
1476,20,M,г. Москва
3015,19,F,г. Москва
3024,18,F,г. Москва
1485,19,F,г. Москва
1486,18,F,г. Москва
1491,33,F,г. Москва
1494,23,F,г. Москва
1496,29,F,г. Москва
3041,32,F,г. Москва
1504,27,F,г. Москва
1507,22,F,г. Москва
3056,34,F,г. Москва
1515,26,F,г. Москва
2422,30,M,г. Москва
1525,18,F,г. Москва
1528,31,M,г. Москва
1534,25,M,г. Москва
1538,32,M,г. Москва
1541,32,M,г. Москва
1542,18,F,г. Москва
3111,68,M,г. Москва
1739,35,M,г. Москва
3124,28,M,г. Москва
1759,34,F,г. Москва
1567,30,F,г. Москва
1576,24,F,г. Москва
1578,20,F,г. Москва
1768,27,F,г. Москва
1588,18,F,г. Москва
1593,30,M,г. Москва
1597,45,F,г. Москва
1783,32,F,г. Москва
1599,25,F,г. Москва
1807,53,F,г. Москва
1612,25,M,г. Москва
3219,24,F,г. Москва
3237,22,F,г. Москва
1838,18,F,г. Москва
1848,51,F,г. Москва
1640,32,M,г. Москва
3250,22,F,г. Москва
1643,69,M,г. Москва
1650,18,F,г. Москва
1865,32,F,г. Москва
2580,19,M,г. Москва
1900,29,M,г. Москва
2627,22,F,г. Москва
1703,34,F,г. Москва
1706,31,F,г. Москва
1722,34,M,г. Москва
1945,23,M,г. Москва
1727,26,F,г. Москва
1729,27,F,г. Москва
1731,19,M,г. Москва
1732,18,F,г. Москва
1737,36,M,г. Москва
2683,28,M,г. Москва
2685,47,M,г. Москва
2690,23,M,г. Москва
1751,54,F,г. Москва
1772,27,F,г. Москва
1782,20,F,г. Москва
1784,27,F,г. Москва
1791,32,M,г. Москва
1794,27,M,г. Москва
1796,25,M,г. Москва
1797,62,M,г. Москва
1799,19,F,г. Москва
1800,19,F,г. Москва
1804,24,F,г. Москва
3491,21,M,г. Москва
1817,23,M,г. Москва
1819,44,F,г. Москва
1830,28,F,г. Москва
1839,61,M,г. Москва
1843,24,M,г. Москва
2083,34,M,г. Москва
1851,23,M,г. Москва
2813,19,M,г. Москва
1857,33,M,г. Москва
1862,26,M,г. Москва
1867,57,F,г. Москва
1869,58,M,г. Москва
1871,24,F,г. Москва
2129,20,F,г. Москва
1887,18,F,г. Москва
1901,18,F,г. Москва
1905,27,M,г. Москва
1907,32,F,г. Москва
1917,30,F,г. Москва
1921,33,M,г. Москва
2196,20,F,г. Москва
1932,22,F,г. Москва
1934,23,F,г. Москва
1940,24,F,г. Москва
1942,34,M,г. Москва
2949,27,F,г. Москва
2221,24,F,г. Москва
1961,29,F,г. Москва
2965,26,F,г. Москва
1968,18,F,г. Москва
1969,20,F,г. Москва
1975,29,F,г. Москва
1977,25,F,г. Москва
1980,26,F,г. Москва
1984,28,F,г. Москва
1985,29,F,г. Москва
1987,28,M,г. Москва
3779,21,M,г. Москва
2002,20,M,г. Москва
2003,23,F,г. Москва
2006,32,F,г. Москва
2007,28,F,г. Москва
2008,32,F,г. Москва
2011,48,F,г. Москва
2019,39,F,г. Москва
2025,52,F,г. Москва
2031,29,F,г. Москва
2033,25,M,г. Москва
2037,25,M,г. Москва
2040,22,M,г. Москва
2046,21,F,г. Москва
2052,34,M,г. Москва
2053,33,M,г. Москва
2056,22,F,г. Москва
2074,25,M,г. Москва
2076,54,F,г. Москва
2077,21,F,г. Москва
2082,22,F,г. Москва
3095,41,F,г. Москва
2089,28,F,г. Москва
2096,24,F,г. Москва
2098,32,M,г. Москва
2099,37,M,г. Москва
2104,25,F,г. Москва
3883,46,F,г. Москва
2112,23,F,г. Москва
2119,66,F,г. Москва
2122,25,F,г. Москва
2127,29,M,г. Москва
2128,32,M,г. Москва
2379,66,F,г. Москва
2130,28,F,г. Москва
2134,61,F,г. Москва
3156,57,F,г. Москва
2143,31,F,г. Москва
2159,23,M,г. Москва
2427,20,F,г. Москва
2176,31,F,г. Москва
2178,34,F,г. Москва
3971,23,F,г. Москва
2181,20,F,г. Москва
3231,37,M,г. Москва
2195,31,M,г. Москва
2198,25,M,г. Москва
2210,20,M,г. Москва
3252,19,M,г. Москва
2213,30,M,г. Москва
2225,27,F,г. Москва
2230,36,F,г. Москва
3287,20,F,г. Москва
3288,22,M,г. Москва
2244,69,M,г. Москва
2500,24,M,г. Москва
2251,24,F,г. Москва
2257,54,M,г. Москва
3309,22,M,г. Москва
2276,19,F,г. Москва
2523,21,F,г. Москва
2281,37,M,г. Москва
2284,25,F,г. Москва
3350,34,F,г. Москва
2297,23,F,г. Москва
2299,29,F,г. Москва
2559,23,F,г. Москва
2325,21,F,г. Москва
2327,26,F,г. Москва
2330,62,F,г. Москва
2331,19,F,г. Москва
2595,34,F,г. Москва
2338,34,F,г. Москва
2601,32,M,г. Москва
2340,33,F,г. Москва
2342,33,M,г. Москва
4175,30,M,г. Москва
2344,27,F,г. Москва
3417,22,F,г. Москва
2353,50,F,г. Москва
2355,32,M,г. Москва
2618,22,F,г. Москва
2364,27,M,г. Москва
2369,34,M,г. Москва
2382,27,F,г. Москва
3438,24,F,г. Москва
2397,28,F,г. Москва
4241,18,M,г. Москва
2401,19,M,г. Москва
2413,18,F,г. Москва
2414,23,F,г. Москва
2415,24,M,г. Москва
2420,30,M,г. Москва
2442,58,F,г. Москва
2443,34,M,г. Москва
2444,27,F,г. Москва
2454,18,F,г. Москва
2700,29,M,г. Москва
2701,25,M,г. Москва
2461,18,F,г. Москва
4308,66,F,г. Москва
